,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
152,5,1,1,0,2,1,0,1,2,1,0 GB,0,0,0,1,43400,3,231,26
153,0,1,0,7,2,4,0,3,2,0,0 GB,0,3,0,0,24990,3,502,93
154,4,1,1,0,2,1,0,1,2,1,0 GB,2,0,0,1,40750,3,1096,116
155,5,1,1,0,2,1,0,1,2,1,0 GB,2,0,0,1,43000,3,313,35
156,0,1,1,0,2,1,0,1,2,1,0 GB,0,3,0,0,38000,3,7,0
157,5,1,1,1,3,1,0,1,2,1,0 GB,2,0,0,1,37990,2,265,46
158,4,1,1,4,3,1,0,1,2,1,2 GB,0,3,0,0,49279,3,38,3
159,1,1,1,0,3,1,0,1,2,0,0 GB,0,3,0,0,38999,2,7,2
160,0,1,1,1,3,1,0,1,2,0,0 GB,0,3,0,0,41500,2,4,0
161,2,1,1,1,2,1,0,1,2,0,0 GB,0,3,0,0,36999,2,0,0
162,5,1,1,1,3,1,0,1,2,0,0 GB,0,3,0,0,42900,2,0,0
163,0,1,0,7,2,4,0,3,2,0,0 GB,0,3,0,0,21490,2,818,113
164,5,1,1,1,3,1,0,1,2,0,0 GB,0,3,0,0,41480,2,25,4
165,0,1,1,0,3,1,0,1,2,1,0 GB,0,3,0,0,32990,1,12,0
166,0,1,1,1,3,1,0,1,2,1,0 GB,0,0,0,0,38680,2,17,1
167,0,1,0,7,2,4,0,3,2,0,0 GB,0,3,0,0,23990,3,974,170
168,5,1,1,0,3,1,0,1,2,1,0 GB,2,3,0,0,40390,2,83,15
169,0,1,1,0,2,1,0,1,2,1,0 GB,2,3,0,0,33990,2,31,6
170,0,1,0,7,2,4,0,3,2,0,0 GB,0,3,0,0,20490,2,637,91
171,5,1,1,0,3,1,4,1,2,1,0 GB,2,0,0,1,41490,4,7,5
172,5,1,1,1,3,1,4,1,2,1,0 GB,0,3,0,0,45490,3,207,16
173,5,1,1,1,3,1,4,1,2,1,0 GB,0,3,0,0,44490,3,844,103
174,0,1,1,1,3,1,4,1,2,1,0 GB,0,0,0,1,41890,3,53,6
175,5,1,1,1,2,1,4,1,2,1,0 GB,2,0,0,1,42990,3,62,7
176,2,1,1,1,3,1,4,1,2,1,0 GB,0,3,0,0,40990,3,38,2
177,5,1,1,1,3,1,4,1,2,1,0 GB,2,0,0,0,48990,3,724,92
178,5,1,1,1,2,1,4,1,2,1,0 GB,2,0,0,1,43590,2,0,0
179,5,1,1,0,2,1,4,1,2,1,0 GB,0,0,0,0,44690,3,9,0
180,0,1,1,0,2,1,4,1,2,1,0 GB,0,3,0,0,40990,2,0,0
181,5,1,1,1,2,1,4,1,2,1,0 GB,2,0,0,1,43990,2,0,0
183,5,1,1,0,2,1,4,1,2,1,0 GB,2,0,0,1,41390,3,56,7
184,5,1,1,0,2,1,4,1,2,1,0 GB,2,0,0,1,44290,2,0,0
185,5,1,1,1,2,1,4,1,2,1,0 GB,0,0,0,0,48999,2,0,0
186,5,1,1,1,2,1,4,1,2,1,0 GB,2,0,0,1,39990,2,170,11
187,5,1,1,0,3,1,4,1,2,1,0 GB,2,3,0,0,46390,1,95,5
188,0,1,0,7,2,4,0,3,2,1,0 GB,0,3,0,0,18990,2,197,25
189,0,1,0,7,2,4,0,3,2,0,0 GB,0,3,0,0,17990,2,1180,148
190,4,1,0,7,2,1,0,3,2,1,0 GB,0,3,0,0,26470,2,232,23
191,4,1,0,7,2,1,0,3,2,1,0 GB,0,3,0,0,27990,2,596,65
192,1,1,0,7,2,1,0,1,2,0,0 GB,0,3,0,0,29999,2,19,1
193,1,1,0,7,2,5,0,3,2,1,0 GB,0,3,0,0,25990,2,84,16
194,1,1,0,7,2,4,0,3,2,0,0 GB,0,3,0,0,16990,2,414,54
195,1,1,0,7,2,4,0,3,2,0,0 GB,0,3,0,0,24990,1,70,16
196,2,1,2,7,3,2,0,3,2,0,4 GB,0,3,0,0,50990,3,10966,1185
197,2,1,2,7,3,4,0,3,2,0,0 GB,0,0,0,0,119990,3,1,1
198,2,1,2,0,3,4,0,3,0,0,0 GB,0,3,0,0,94190,3,31,6
199,0,1,2,0,3,4,0,3,0,0,4 GB,0,3,0,0,106167,3,1881,241
200,5,1,2,0,3,4,0,3,0,0,4 GB,0,0,0,0,68090,0,23,4
201,5,1,2,0,3,4,0,3,0,0,0 GB,2,0,0,0,139990,2,0,0
202,4,1,2,0,3,4,0,3,0,0,0 GB,2,3,0,0,55990,3,818,109
203,4,1,2,0,3,4,0,3,0,0,4 GB,0,3,0,0,102551,2,0,0
204,1,1,2,0,3,4,0,3,0,0,2 GB,0,3,0,0,46990,3,4428,569
205,4,1,2,5,3,1,2,0,2,1,0 GB,2,0,0,0,76012,3,129,16
206,1,1,2,1,3,1,4,0,2,1,0 GB,0,1,0,1,49490,3,365,35
207,2,1,2,4,3,0,4,0,2,1,0 GB,2,0,0,1,86867,3,39,3
208,0,1,2,1,3,1,4,0,2,1,0 GB,2,0,0,0,48990,2,0,0
