,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
188,0,1,0,7,2,4,0,3,2,1,0 GB,Casual,No warranty,No,No,18990,3 stars,197,25
189,0,1,0,7,2,4,0,3,2,0,0 GB,Casual,No warranty,No,No,17990,3 stars,1180,148
190,4,1,0,7,2,1,0,3,2,1,0 GB,Casual,No warranty,No,No,26470,3 stars,232,23
191,4,1,0,7,2,1,0,3,2,1,0 GB,Casual,No warranty,No,No,27990,3 stars,596,65
192,1,1,0,7,2,1,0,1,2,0,0 GB,Casual,No warranty,No,No,29999,3 stars,19,1
193,1,1,0,7,2,5,0,3,2,1,0 GB,Casual,No warranty,No,No,25990,3 stars,84,16
194,1,1,0,7,2,4,0,3,2,0,0 GB,Casual,No warranty,No,No,16990,3 stars,414,54
195,1,1,0,7,2,4,0,3,2,0,0 GB,Casual,No warranty,No,No,24990,2 stars,70,16
196,2,1,2,7,3,2,0,3,2,0,4 GB,Casual,No warranty,No,No,50990,4 stars,10966,1185
197,2,1,2,7,3,4,0,3,2,0,0 GB,Casual,1 year,No,No,119990,4 stars,1,1
198,2,1,2,0,3,4,0,3,0,0,0 GB,Casual,No warranty,No,No,94190,4 stars,31,6
199,0,1,2,0,3,4,0,3,0,0,4 GB,Casual,No warranty,No,No,106167,4 stars,1881,241
200,5,1,2,0,3,4,0,3,0,0,4 GB,Casual,1 year,No,No,68090,1 star,23,4
201,5,1,2,0,3,4,0,3,0,0,0 GB,ThinNlight,1 year,No,No,139990,3 stars,0,0
202,4,1,2,0,3,4,0,3,0,0,0 GB,ThinNlight,No warranty,No,No,55990,4 stars,818,109
203,4,1,2,0,3,4,0,3,0,0,4 GB,Casual,No warranty,No,No,102551,3 stars,0,0
204,1,1,2,0,3,4,0,3,0,0,2 GB,Casual,No warranty,No,No,46990,4 stars,4428,569
205,4,1,2,5,3,1,2,0,2,1,0 GB,ThinNlight,1 year,No,No,76012,4 stars,129,16
206,1,1,2,1,3,1,4,0,2,1,0 GB,Casual,2 years,No,Yes,49490,4 stars,365,35
207,2,1,2,4,3,0,4,0,2,1,0 GB,ThinNlight,1 year,No,Yes,86867,4 stars,39,3
208,0,1,2,1,3,1,4,0,2,1,0 GB,ThinNlight,1 year,No,No,48990,3 stars,0,0
209,5,1,2,1,3,1,4,0,2,1,0 GB,ThinNlight,No warranty,No,No,55990,3 stars,3,0
210,2,1,2,5,3,0,4,0,2,1,0 GB,ThinNlight,1 year,Yes,Yes,81998,4 stars,14,3
211,4,1,2,5,3,1,4,0,2,1,0 GB,Casual,1 year,Yes,Yes,136590,3 stars,0,0
212,2,1,2,5,3,1,4,0,2,1,0 GB,ThinNlight,1 year,No,No,59490,3 stars,33,7
213,0,1,2,1,3,1,4,0,2,1,0 GB,ThinNlight,1 year,No,No,49800,3 stars,0,0
214,1,1,2,1,3,1,4,0,2,1,0 GB,Casual,1 year,No,Yes,61999,2 stars,4,0
215,4,1,2,1,3,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,54990,4 stars,116,15
216,4,1,2,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,No,53990,4 stars,206,17
217,1,1,2,1,3,1,6,0,2,1,0 GB,Casual,2 years,No,Yes,52990,4 stars,300,24
218,4,1,2,1,0,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,67990,4 stars,108,6
219,0,1,2,0,3,1,6,0,2,1,4 GB,Gaming,1 year,No,No,57990,4 stars,3712,412
220,1,1,2,1,0,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,62300,4 stars,825,95
221,1,1,2,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,No,52990,3 stars,0,0
222,1,1,2,1,3,1,6,0,2,1,0 GB,ThinNlight,2 years,No,Yes,51990,4 stars,85,4
223,1,1,2,1,0,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,61990,4 stars,56,7
224,0,1,2,1,3,5,6,0,2,0,0 GB,Casual,1 year,Yes,Yes,63990,4 stars,10,1
225,1,1,2,1,3,1,6,0,2,1,0 GB,Casual,1 year,No,Yes,65990,4 stars,17,4
226,2,1,2,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,No,52990,4 stars,155,20
227,1,1,2,0,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,No,49990,3 stars,0,0
228,0,1,2,1,3,1,6,0,2,1,4 GB,Gaming,No warranty,No,No,71990,4 stars,91,17
229,0,1,2,0,3,1,6,0,2,1,0 GB,Casual,1 year,No,No,47990,4 stars,35,2
230,1,1,2,0,3,1,6,0,2,0,0 GB,ThinNlight,2 years,No,Yes,48490,4 stars,126,13
231,0,1,2,1,3,1,6,0,2,1,4 GB,Gaming,No warranty,No,No,72990,4 stars,74,10
232,6,1,2,1,0,1,6,0,2,1,4 GB,Casual,2 years,No,No,76990,4 stars,75,17
233,0,1,2,1,0,1,6,0,2,1,6 GB,Gaming,1 year,No,Yes,89990,4 stars,124,17
234,6,1,2,0,3,1,6,0,2,1,4 GB,Casual,2 years,No,No,59990,4 stars,1597,228
